Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
IndusInd Bank,Banking , 10k-50k Employees , 30  ,9600.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7,3.6,3.6,3.4,3.4,3.3,3.3,3.1
Ernst & Young,Management Consulting , 50k-1 Lakh Employees , 22  ,9200.0,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",3.6,3.8,3.1,3.3,3.7,3.2,3.4,3.2
Mahindra & Mahindra,Automobile , 1 Lakh+ Employees , 79  ,9100.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.1,3.9,3.9,4.0,3.9,3.7,3.5
AU Small Finance Bank,Banking , 10k-50k Employees , 28  ,9000.0,"Skill Development / Learning, Job Security, Company Culture",,4.4,4.3,4.2,4.3,4.3,4.2,4.2,4.1
DXC Technology,IT Services & Consulting , 10k-50k Employees , 7  ,9000.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",3.7,3.6,3.8,3.6,3.7,3.5,3.2,2.9
IDFC FIRST Bank,Banking , 10k-50k Employees , 6  ,9000.0,"Salary & Benefits, Skill Development / Learning, Job Security",,4.0,3.8,3.8,3.8,3.8,3.7,4.0,3.6
LTIMindtree,IT Services & Consulting , 50k-1 Lakh Employees , 27  ,8900.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.5,3.6,3.4,3.5,3.3,3.1,2.7
Infosys BPM,BPO , 10k-50k Employees , 22  ,8600.0,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",3.8,4.3,3.8,3.9,3.9,3.6,2.9,3.0
Conneqt Business Solutions,BPO , 10k-50k Employees , 22  ,8100.0,,"Promotions / Appraisal, Salary & Benefits",3.7,3.6,3.5,3.6,3.6,3.4,3.2,3.0
Bajaj Finserv,Financial Services , 50k-1 Lakh Employees , 17  ,8100.0,"Salary & Benefits, Skill Development / Learning, Job Security",,4.0,3.8,3.5,3.6,4.0,3.6,4.1,3.7
HDFC Life,Insurance , 10k-50k Employees , 24  ,8000.0,"Skill Development / Learning, Job Security, Company Culture",,4.1,3.9,3.8,3.9,4.0,3.7,3.8,3.6
PwC,Management Consulting , 10k-50k Employees , 144  ,7800.0,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",3.5,3.7,3.1,3.4,3.6,3.2,3.4,3.1
Mphasis,IT Services & Consulting , 10k-50k Employees , 26  ,7400.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.4,3.5,3.5,3.3,3.3,3.2,2.8,2.6
HSBC Group,Banking , 10k-50k Employees , 159  ,7000.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.1,4.1,4.0,4.0,3.8,3.7,3.5,3.4
Yes Bank,Banking , 10k-50k Employees , 20  ,6800.0,Salary & Benefits,,3.9,3.6,3.7,3.6,3.6,3.5,3.8,3.5
Maruti Suzuki,Automobile , 10k-50k Employees , 43  ,6800.0,"Job Security, Salary & Benefits, Skill Development / Learning",,4.2,4.2,3.9,4.0,4.0,4.0,4.2,3.8
Startek,BPO , 10k-50k Employees , 7  ,6800.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.2,3.0,3.0,3.0,3.1,2.9,2.9,2.6
Samsung,Consumer Electronics & Appliances , 50k-1 Lakh Employees , 55  ,6700.0,"Salary & Benefits, Job Security, Work Life Balance",,4.1,3.9,3.8,3.8,3.8,3.7,3.9,3.4
Asian Paints,Chemicals , 5k-10k Employees , 82  ,6700.0,"Salary & Benefits, Skill Development / Learning, Job Security",,4.1,3.9,3.5,3.7,4.0,3.6,4.3,3.4
Paytm,FinTech , 10k-50k Employees , 14  ,6700.0,,"Job Security, Promotions / Appraisal, Company Culture",3.3,2.8,3.1,3.0,3.2,3.0,3.3,2.9
Hinduja Global Solutions,IT Services & Consulting , 10k-50k Employees , 24  ,6600.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.9,4.0,3.8,3.8,3.8,3.7,3.4,3.3
Ericsson,Telecom , 10k-50k Employees , 148  ,6600.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,4.2,4.1,4.2,4.2,4.0,3.9,3.7,3.4
Shriram Finance,NBFC , 50k-1 Lakh Employees , 45  ,6500.0,"Job Security, Work Life Balance, Skill Development / Learning",,4.1,4.1,3.9,3.9,3.9,3.8,3.6,3.4
Bandhan Bank,Banking , 50k-1 Lakh Employees , 23  ,6400.0,Job Security,"Promotions / Appraisal, Work Satisfaction",3.8,3.8,3.6,3.5,3.5,3.4,3.5,3.3
EXL Service,Analytics & KPO , 10k-50k Employees , 25  ,6300.0,Job Security,"Promotions / Appraisal, Salary & Benefits",3.8,4.0,3.7,3.6,3.5,3.5,3.2,3.0
Cipla,Pharma , 10k-50k Employees , 89  ,6200.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,4.1,3.7,3.9,3.9,4.0,3.8,4.0,3.6
NTT DATA,IT Services & Consulting , 10k-50k Employees , 11  ,6200.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.0,4.0,3.9,3.8,3.7,3.7,3.5,3.3
Dr. Reddy's,Pharma , 10k-50k Employees , 40  ,6200.0,"Skill Development / Learning, Company Culture, Work Life Balance",,4.1,3.7,3.9,3.9,4.0,3.7,3.9,3.4
UltraTech Cement,Building Material , 10k-50k Employees , 41  ,6200.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.2,3.8,4.0,4.1,3.8,3.9,3.5
Sutherland Global Services,IT Services & Consulting , 10k-50k Employees , 38  ,6200.0,,"Promotions / Appraisal, Salary & Benefits",3.7,3.6,3.5,3.7,3.5,3.5,3.4,3.1
Quess,BPO , 1k-5k Employees , 17  ,5900.0,Work Life Balance,Promotions / Appraisal,4.0,3.5,3.8,3.7,3.7,3.6,3.6,3.2
Bajaj Finance,NBFC , 10k-50k Employees , 37  ,5900.0,"Salary & Benefits, Skill Development / Learning, Job Security",,4.1,3.9,3.5,3.6,4.0,3.7,4.1,3.8
Tata Steel,Iron & Steel , 1 Lakh+ Employees , 117  ,5900.0,"Job Security, Skill Development / Learning, Work Life Balance",,4.2,4.2,4.0,4.0,4.1,3.8,3.7,3.4
ICICI Prudential Life Insurance,Insurance , 10k-50k Employees , 24  ,5700.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.1,4.2,3.8,3.9,4.0,3.7,4.0,3.7
Jana Small Finance Bank,Banking , 10k-50k Employees , 18  ,5600.0,,,3.8,3.5,3.5,3.5,3.6,3.5,3.7,3.4
Amazon Development Centre India,Internet , 10k-50k Employees , 18  ,5600.0,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,4.2,3.8,4.0,4.2,3.7,3.7,4.0,3.4
Wells Fargo,Financial Services , 10k-50k Employees , 172  ,5600.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.0,4.0,4.0,3.9,3.5,3.5,3.8,3.4
Lupin,Pharma , 1k-5k Employees , 56  ,5600.0,"Skill Development / Learning, Company Culture, Work Life Balance",,4.2,3.7,3.9,4.0,4.0,3.8,3.8,3.5
Zydus Lifesciences,Pharma , 10k-50k Employees , 72  ,5500.0,"Skill Development / Learning, Salary & Benefits, Job Security",,4.2,4.0,3.9,3.9,4.0,3.9,4.0,3.8
